Baum ID,Nr.,Deutsche Bezeichnung,Ort,Stadtteil,Stadtviertel,Straße,Geburtsjahr,Alter,X-Koordinate,,Y-Koordinate,
BKA-20222,20222,Gemeine Hainbuche,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514734.323,514734323,5442884.58,5442884580
BKA-20219,20219,Gemeine Hainbuche,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514734.98,514734980,5442887.866,5442887866
BKA-20221,20221,Gemeine Hainbuche,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514734.698,514734698,5442886.363,5442886363
BKA-20217,20217,Gemeine Hainbuche,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514735.355,514735355,5442889.65,5442889650
BKA-20216,20216,Gemeine Hainbuche,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514736.111,514736111,5442895.37,5442895370
BKA-20215,20215,Winter-Linde,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514736.312,514736312,5442902.33,5442902330
BKA-20214,20214,Winter-Linde,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514735.449,514735449,5442905.901,5442905901
BKA-20343,20343,Gemeine Hainbuche,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514737.525,514737525,5442921.289,5442921289
BKA-20190,20190,Butternuß,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514732.513,514732513,5442924.224,5442924224
BKA-20189,20189,Gemeine Hainbuche,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514739.698,514739698,5442931.373,5442931373
BKA-20188,20188,Gemeine Hainbuche,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514736.858,514736858,5442933.57,5442933570
BKA-20187,20187,Gemeine Hainbuche,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514736.749,514736749,5442936.45,5442936450
BKA~BAUM-3410,71898,Gemeine Hainbuche,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514739.348,514739348,5442938.849,5442938849
BKA-20186,20186,Gemeine Esche,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514732.249,514732249,5442942.858,5442942858
BKA-20183,20183,Gemeine Hainbuche,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514739.44,514739440,5442949.86,5442949860
BKA-20185,20185,Gemeine Esche,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514734.837,514734837,5442949.39,5442949390
BKA-20182,20182,Gemeine Hainbuche,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514739.354,514739354,5442959.793,5442959793
BKA-20232,20232,Gemeine Hainbuche,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514737.605,514737605,5442963.554,5442963554
BKA-20181,20181,Gemeine Hainbuche,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514738.239,514738239,5442962.529,5442962529
BKA-20597,20597,Spitz-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514704.16,514704160,5442697.047,5442697047
BKA-20596,20596,Spitz-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514705.759,514705759,5442706.943,5442706943
BKA-20595,20595,Spitz-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514707.359,514707359,5442717.039,5442717039
BKA-20591,20591,Spitz-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514708.858,514708858,5442727.235,5442727235
BKA~BAUM-14435,86517,Weiß - Esche`Autumn Applaus`,Heilbronn,HN Innenstadt,Südstadt,Cäcilienstraße,,,515638.019,515638019,5442735.468,5442735468
BKA~BAUM-14447,86528,Pyramiden-Hainbuche,Heilbronn,HN Innenstadt,Südstadt,Cäcilienstraße,,,515515.941,515515941,5442722.742,5442722742
BKA~BAUM-14446,86527,Pyramiden-Hainbuche,Heilbronn,HN Innenstadt,Südstadt,Cäcilienstraße,,,515513.969,515513969,5442719.311,5442719311
BKA~BAUM-14445,86526,Pyramiden-Hainbuche,Heilbronn,HN Innenstadt,Südstadt,Cäcilienstraße,,,515511.978,515511978,5442715.848,5442715848
BKA~BAUM-14444,86525,Pyramiden-Hainbuche,Heilbronn,HN Innenstadt,Südstadt,Cäcilienstraße,,,515509.985,515509985,5442712.379,5442712379
BKA~BAUM-14443,86524,Pyramiden-Hainbuche,Heilbronn,HN Innenstadt,Südstadt,Cäcilienstraße,,,515507.979,515507979,5442708.889,5442708889
BKA~BAUM-14442,86523,Pyramiden-Hainbuche,Heilbronn,HN Innenstadt,Südstadt,Cäcilienstraße,,,515505.98,515505980,5442705.41,5442705410
BKA~BAUM-14441,86522,Pyramiden-Hainbuche,Heilbronn,HN Innenstadt,Südstadt,Cäcilienstraße,,,515503.987,515503987,5442701.942,5442701942
BKA~BAUM-14440,86521,Pyramiden-Hainbuche,Heilbronn,HN Innenstadt,Südstadt,Cäcilienstraße,,,515501.994,515501994,5442698.473,5442698473
BKA~BAUM-14433,86515,Pyramiden-Hainbuche,Heilbronn,HN Innenstadt,Südstadt,Cäcilienstraße,,,515500.001,515500001,5442695.006,5442695006
BKA~BAUM-14439,86520,Weiß - Esche `Autumn Purple`,Heilbronn,HN Innenstadt,Südstadt,Cäcilienstraße,,,515667.475,515667475,5442736.796,5442736796
BKA~BAUM-14438,86519,Weiß - Esche `Autumn Purple`,Heilbronn,HN Innenstadt,Südstadt,Cäcilienstraße,,,515657.39,515657390,5442736.341,5442736341
BKA~BAUM-14437,86518,Weiß - Esche `Autumn Purple`,Heilbronn,HN Innenstadt,Südstadt,Cäcilienstraße,,,515646.954,515646954,5442735.871,5442735871
BKA~BAUM-14434,86516,Weiß - Esche `Autumn Purple`,Heilbronn,HN Innenstadt,Südstadt,Cäcilienstraße,,,515626.246,515626246,5442735.338,5442735338
BKA~BAUM-6897,75054,Säulen - Ginkgo Blagon,Heilbronn,HN Innenstadt,Südstadt,Cäcilienstraße,01.01.05,19,515635.268,515635268,5442745.637,5442745637
BKA~BAUM-6896,75053,Säulen - Ginkgo Blagon,Heilbronn,HN Innenstadt,Südstadt,Cäcilienstraße,01.01.05,19,515644.349,515644349,5442745.982,5442745982
